gene_id	NA.	X100_cells_rep1	X100_cells_rep2	X100_cells_rep3	X300_cells_rep1	X300_cells_rep2	X300_cells_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000035183	Slc24a5	139.737257130291	141.379170212249	158.188905329045	102.606094580073	138.4705518205	136.443018396041	136.137499578033	0.21713362308761	0.166848688519994	1.30138046042592	0.193128258492109	0.999395725477064
ENSMUSG00000035184	Fam124a	9.6927577200202	8.71515432815235	8.91205100445326	13.0772473484406	9.23137012136669	14.1900739131883	10.6364424059369	-0.412888832697208	0.549391731048433	-0.751538127283551	0.452328863843526	0.999395725477064
ENSMUSG00000035198	Tubg1	638.914279711331	633.301214512404	690.683952845128	632.737583243781	613.373259175254	566.511412380362	629.253616978043	0.112416073846234	0.0840559521182605	1.33739575857844	0.18109348820233	0.999395725477064
ENSMUSG00000035199	Arl6ip5	102.581685870214	100.708450014205	96.9185546734293	97.5763840614416	94.3651167961929	103.696693980991	99.3078142327456	0.0246024012048206	0.182270628187153	0.134977321631652	0.892629804939511	0.999395725477064
ENSMUSG00000035200	Chrnb4	58.1565463201212	30.9872153889861	40.1042295200397	49.2911630825839	58.4653441019891	34.9294127093865	45.3223185205177	-0.133786662018734	0.298885452768126	-0.447618513312272	0.654428539727962	0.999395725477064
ENSMUSG00000035202	Lars2	112.274443590234	96.8350480905816	109.172624804552	128.760589276954	125.136350534082	134.259930101704	117.739831066351	-0.284580657533918	0.16970621920655	-1.67690175919572	0.0935616940982001	0.999395725477064
ENSMUSG00000035203	Epn1	756.842831971577	758.218426549254	740.814239745178	807.77150929214	767.229427864698	776.087888636681	767.827387343255	-0.0593268017466532	0.0745073064307295	-0.796254818335301	0.425883940975681	0.999395725477064
ENSMUSG00000035206	Sppl2b	134.083148460279	135.569067326814	133.680765066799	126.748705069501	89.236577839878	139.717650837546	126.505985766803	0.183105811604763	0.177953729401555	1.0289518079814	0.303502321388058	0.999395725477064
ENSMUSG00000035212	Leprot	298.860029700623	283.726690905404	287.413644893618	301.782631117861	284.121058179841	276.160669233587	288.677454005156	0.0137717309172254	0.111994829608807	0.122967559889411	0.902132786424986	0.999395725477064
ENSMUSG00000035215	Lsm7	293.205921030611	273.07483561544	289.641657644731	312.847994258849	257.452655607004	277.252213380755	283.912546256232	0.0140558804402247	0.117165753879114	0.119965774766634	0.904510259889862	0.999395725477064
ENSMUSG00000035226	Rims4	21.0009750600438	27.1138134653629	22.2801275111332	9.05347893353582	20.5141558252593	25.1055153848715	20.8446776967011	0.369555516547607	0.420830288211048	0.878158076783374	0.379857939382511	0.999395725477064
ENSMUSG00000035227	Spcs2	1068.62653863223	1014.8313039893	973.641572236519	995.88268268894	1006.21934322897	1065.34708763629	1020.75808806871	-0.00253576868178566	0.0703427216257348	-0.0360487712613319	0.971243470361227	0.999395725477064
ENSMUSG00000035228	Ccdc106	11.3082173400236	12.5885562517756	13.3680765066799	12.0713052447144	11.2827857038926	9.82389732451495	11.7404730619335	0.16027007463433	0.519094467629824	0.308749340685753	0.757512207762443	0.999395725477064
ENSMUSG00000035232	Pdk3	432.135448350901	458.029777468451	460.0846331049	441.608583535803	529.26522029169	418.06140836547	456.530845186202	-0.0428960177001939	0.10208651086892	-0.420192808384575	0.67434460798855	0.999395725477064
ENSMUSG00000035234	Abraxas1	121.967201310254	121.043810113227	115.856663057892	125.742762965775	134.367720655449	117.886767894179	122.810820999463	-0.0741574160743177	0.165469181326959	-0.448164519094261	0.654034467269272	0.999395725477064
