gene_id	NA.	X300_cells_rep1	X300_cells_rep2	X300_cells_rep3	X300_cells_noGSKi_rep1	X300_cells_noGSKi_rep2	X300_cells_noGSKi_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000027173	Depdc7	171.889951837334	127.791718408888	130.151418421361	16.9547509843897	22.1549455619451	27.0047561417381	82.657923559276	-2.70179357997818	0.267771700346885	-10.0899145670664	6.1222778929122e-24	1.50240699492065e-21
ENSMUSG00000047632	Fgfbp3	96.6880979085006	160.482623118138	125.918851968634	355.052432378984	368.928006531521	451.079445182366	259.691576181357	1.61723959722546	0.161744445436036	9.99873345180821	1.54358571475736e-23	3.72031721287144e-21
ENSMUSG00000030554	Synm	66.4120268462428	61.4192755143491	75.1280545359078	272.273354043434	214.806646100598	222.039106054291	152.013077182471	1.8063713821646	0.181382608428427	9.95890067860276	2.30598373665736e-23	5.46032675327446e-21
ENSMUSG00000029163	Emilin1	147.473765496804	125.810451456812	138.616551326816	17.9520892775891	27.9344965781047	23.0040515281473	80.1319009440454	-2.57761786949528	0.259311124460093	-9.94025179159626	2.78123242214053e-23	6.47211965545357e-21
ENSMUSG00000035357	Pdzrn3	181.656426373547	224.873799060601	177.767791014542	468.748997803714	453.694754768528	446.078564415378	325.470055572718	1.22687096362028	0.123502009884532	9.93401617323753	2.96084209276661e-23	6.77330266543575e-21
ENSMUSG00000030699	Tbx6	246.115158312547	298.180676287404	267.709828134995	1311.4998555572	1166.50604676155	851.149906541449	690.19357859919	2.03566079627957	0.205630092874428	9.89962494216584	4.17839069075934e-23	9.39928985886314e-21
ENSMUSG00000000753	Serpinf1	235.372036322713	267.47103853023	227.500446834087	71.8083571103563	84.7667482370074	67.0118022776464	158.98840488534	-1.70695859411873	0.172548333032866	-9.89264030614308	4.48052004212877e-23	9.91370147682165e-21
ENSMUSG00000042942	Greb1l	334.990076592078	421.019227316103	407.384521074993	891.620434120257	814.916693278503	718.126478139554	598.009571753581	1.06020542704484	0.108776392588924	9.74665000200413	1.90656067664484e-22	4.15045958914121e-20
ENSMUSG00000005968	Tuft1	32.2293659695002	34.6721716613261	25.3953987163632	154.587435445906	157.974394441696	139.024485322281	90.6472085928454	2.28726731335333	0.234867224439788	9.73855470387144	2.06469902024883e-22	4.4233718533807e-20
ENSMUSG00000024901	Peli3	69.3419692071065	66.3724428945385	73.0117713095442	241.355866954253	255.263503213715	200.035230679542	150.89679737645	1.74008608434038	0.178835973367706	9.73006745551456	2.24444072071399e-22	4.73331506366823e-20
ENSMUSG00000048528	Nkx1-2	749.088596927474	902.467096670517	750.222403745896	1528.91960347467	1417.91651596449	1348.23745478011	1116.14194526053	0.838218457641987	0.0863827011356642	9.70354534671894	2.91200282311199e-22	6.04666186208346e-20
ENSMUSG00000038932	Tcfl5	75.2018539288338	87.1757458913342	75.1280545359078	294.214796493821	224.439231127531	243.042805275643	166.533747875512	1.6802153712552	0.173818445846494	9.66649634377161	4.18459252131334e-22	8.55749170608578e-20
ENSMUSG00000039115	Itga9	214.862439796668	139.679320121342	204.221331344087	36.9015168483775	41.4201156158104	45.0079269028968	113.682108438197	-2.17931365332193	0.225578950633098	-9.66097965792278	4.41620347976355e-22	8.89634303975652e-20
ENSMUSG00000009418	Nav1	455.117713387487	390.309589558928	438.070627857265	188.496937414685	172.423271982095	197.034702219348	306.908807069968	-1.20232331689176	0.124705356937117	-9.64131250190031	5.3499499775978e-22	1.0618863948182e-19
ENSMUSG00000031673	Cdh11	256.85828030238	186.239093495123	189.407348759542	49.8669146599696	26.0079795727182	59.0103930504647	127.898334973366	-2.23355330487701	0.232297278152784	-9.61506446669595	6.90660731139953e-22	1.35099244756463e-19
ENSMUSG00000038235	F11r	321.317012241381	405.169091699496	403.151954622266	737.032998674351	805.28410825157	720.126830446349	565.346999322569	1.00325041901101	0.104719033716958	9.58040179899547	9.66681274764982e-22	1.86389959507185e-19
ENSMUSG00000031073	Fgf15	63.4820844853792	53.494207706046	46.5582309799992	237.366513781455	235.035074657157	165.029065310622	133.494196153443	1.9602582685672	0.206355147243454	9.49943965417312	2.11022738725459e-21	4.01151254165847e-19
ENSMUSG00000044338	Aplnr	109.384514805576	94.1101802235994	99.4653116390892	825.796106769097	750.378373598054	447.078740568775	387.702204600699	2.73937744171918	0.288896247047145	9.48221885787299	2.48932501457769e-21	4.66644718357709e-19
ENSMUSG00000028532	Cachd1	96.6880979085006	114.913483220395	106.872302931362	344.08171115379	320.765081396858	252.044390656222	205.894177877855	1.52615284159506	0.161247194743811	9.46467840274561	2.94465776149999e-21	5.44438983657059e-19
ENSMUSG00000021892	Sh3bp5	226.582209240123	162.463890070214	157.663100364088	33.9095019687793	37.5670816050374	51.0089838232831	111.532461178587	-2.16019108402526	0.228332763415962	-9.46071449277722	3.05846116627972e-21	5.5783851839564e-19
ENSMUSG00000037843	Vstm2l	15.6263592579395	21.7939364728336	14.8139825845452	113.696565424731	146.415292409376	102.017967646566	69.0606839659986	2.79161501890649	0.296128585551425	9.42703661555736	4.21838297023412e-21	7.59140199323332e-19
ENSMUSG00000039546	Ajap1	100.594687722985	145.62312097757	132.267701647725	306.182856012213	353.515870488429	359.063239069777	232.874579319783	1.42985092887371	0.151785761454685	9.42019142751134	4.50266372892112e-21	7.99637530911163e-19
ENSMUSG00000043342	Hoxd9	209.979202528562	410.122259079686	281.465669106359	31.9148253823806	23.1182040646384	18.0031707611587	162.433888487131	-3.62590668870805	0.386107254286815	-9.39093127220706	5.94720662112944e-21	1.0424603605894e-18
ENSMUSG00000056427	Slit3	82.0383861041823	82.2225785111448	106.872302931362	307.180194305413	285.124516797207	231.04069143487	182.413111680696	1.60555720145236	0.171274723996727	9.37416312218402	6.97267044545035e-21	1.20654016669543e-18
ENSMUSG00000024366	Gfra3	32.2293659695002	48.5410403258565	33.8605316218176	243.350543540652	201.321027062893	131.0230760951	115.054264102636	2.32728478897743	0.248902235782794	9.35019640003696	8.7485123092693e-21	1.49466671693934e-18
